GLW,NYSE
APC,NYSE
MCK,NYSE
ED,NYSE
NXPI,NASDAQ
IR,NYSE
FLT,NYSE
FTV,NYSE
DLTR,NASDAQ
XLNX,NASDAQ
CRH,NYSE
TEAM,NASDAQ
HRL,NYSE
KR,NYSE
CCEP,NYSE
A,NYSE
CMI,NYSE
HSY,NYSE
LRCX,NASDAQ
MT,NYSE
RCL,NYSE
RCI,NYSE
DLR,NYSE
WEC,NYSE
UAL,NASDAQ
GOLD,NASDAQ
GOLD,NYSE
VIV,NYSE
TROW,NASDAQ
SPOT,NYSE
VTR,NYSE
SLF,NYSE
HLT,NYSE
ZBH,NYSE
PPL,NYSE
MTB,NYSE
TSN,NYSE
JD,NASDAQ
TME,NYSE
GOL,NYSE
DFS,NYSE
FMS,NYSE
SHV,NASDAQ
IMO,AMEX
ES,NYSE
PH,NYSE
PCAR,NASDAQ
AZO,NYSE
SHY,NASDAQ
VCSH,NASDAQ
TU,NYSE
WCN,NYSE
SSL,NYSE
DTE,NYSE
K,NYSE
AMD,NASDAQ
HBANO,NASDAQ
TEVA,NYSE
SWK,NYSE
WLTW,NASDAQ
HPE,NYSE
KEP,NYSE
FE,NYSE
INFO,NASDAQ
IX,NYSE
CLX,NYSE
EIX,NYSE
SBAC,NASDAQ
VRSN,NASDAQ
O,NYSE
MSI,NYSE
NTRS,NASDAQ
ROK,NYSE
SYF,NYSE
PANW,NYSE
CTAS,NASDAQ
VCIT,NASDAQ
NEM,NYSE
MKC,NYSE
VRSK,NASDAQ
TDG,NYSE
BXP,NYSE
CQP,AMEX
BAP,NYSE
IP,NYSE
DISCB,NASDAQ
APTV,NYSE
MCHP,NASDAQ
PKX,NYSE
WY,NYSE
CBS,NYSE
NTES,NASDAQ
NUE,NYSE
CERN,NASDAQ
CTL,NYSE
GPN,NYSE
LULU,NASDAQ
KKR,NYSE
CLR,NYSE
SPLK,NASDAQ
DVY,NASDAQ
OMC,NYSE
DXC,NYSE
SKM,NYSE
FANG,NASDAQ
EXPE,NASDAQ
PAA,NYSE
ULTA,NASDAQ
BMRN,NASDAQ
MGA,NYSE
CHKP,NASDAQ
PBA,NYSE
IDXX,NASDAQ
TAL,NYSE
LNG,AMEX
CHD,NYSE
SHG,NYSE
KEY,NYSE
SNN,NYSE
ESS,NYSE
ANET,NYSE
HRS,NYSE
FITB,NASDAQ
LBTYB,NASDAQ
AME,NYSE
AWK,NYSE
RMD,NYSE
BLL,NYSE
KB,NYSE
ABC,NYSE
FDC,NYSE
ETR,NYSE
GWW,NYSE
AEE,NYSE
GIB,NYSE
HIG,NYSE
INCY,NASDAQ
ALGN,NASDAQ
AMP,NYSE
LBTYA,NASDAQ
FAST,NASDAQ
MELI,NASDAQ
BEN,NYSE
NTAP,NASDAQ
LBTYK,NASDAQ
LEN,NYSE
IAC,NASDAQ
RF,NYSE
EMB,NASDAQ
CFG,NYSE
MYL,NASDAQ
TSS,NYSE
BBY,NYSE
HES,NYSE
AGR,NYSE
WAT,NYSE
EVRG,NYSE
DHI,NYSE
MGM,NYSE
CNP,NYSE
FTS,NYSE
AAL,NASDAQ
MXIM,NASDAQ
L,NYSE
SHOP,NYSE
ABMD,NASDAQ
BSAC,NYSE
CTRP,NASDAQ
CBRE,NYSE
MTD,NYSE
MKL,NYSE
KLAC,NASDAQ
IFF,NYSE
WPP,NYSE
VEEV,NYSE
CTXS,NASDAQ
QSR,NYSE
DISCA,NASDAQ
CAH,NYSE
GPC,NYSE
CMS,NYSE
CMG,NYSE
MMP,NYSE
TS,NYSE
FRC,NYSE
HCP,NYSE
KOF,NYSE
LLL,NYSE
LBRDK,NASDAQ
PFF,NASDAQ
LBRDA,NASDAQ
ZTO,NYSE
MSCI,NYSE
BPR,NASDAQ
VMC,NYSE
MRO,NYSE
AJG,NYSE
DRI,NYSE
LH,NYSE
NDAQ,NASDAQ
YUMC,NYSE
DISCK,NASDAQ
DISH,NASDAQ
HST,NYSE
SNPS,NASDAQ
CGC,NYSE
FNV,NYSE
CSGP,NASDAQ
VIA,NASDAQ
PFG,NASDAQ
ARE,NYSE
ANSS,NASDAQ
TECK,NYSE
COO,NYSE
IXUS,NASDAQ
SYMC,NASDAQ
CE,NYSE
ATUS,NYSE
STM,NYSE
KEYS,NYSE
GRMN,NASDAQ
CDNS,NASDAQ
CINF,NASDAQ
ROL,NYSE
DXCM,NASDAQ
MBB,NASDAQ
LSXMK,NASDAQ
FTNT,NASDAQ
XYL,NYSE
SWKS,NASDAQ
MTCH,NASDAQ
TTWO,NASDAQ
HOLX,NASDAQ
VNO,NYSE
WCG,NYSE
WYNN,NASDAQ
DVN,NYSE
IEP,NASDAQ
BNDX,NASDAQ
IEF,NASDAQ
MOS,NYSE
ETFC,NASDAQ
